Name,Year,Program,Region,Gender,Age,Course_A,Course_B,Exam_Time,Quiz_Time
Student_1,First Year,School A,West,Male,18,D,81,23.142,2:0
Student_2,Second Year,School B,East,Male,24,A,85,17.757,1:10
Student_3,Second Year,School B,West,Male,25,A,92,22.885,1:25
Student_4,First Year,School B,East,Female,25,B,79,18.701,1:0
Student_5,First Year,School B,West,Male,23,C,61,20.543,0:30
Student_6,Second Year,School B,West,Male,20,D,61,22.862,0:5
Student_7,Second Year,School A,West,Male,19,A,94,16.799,2:35
Student_8,Second Year,School B,West,Female,23,D,69,22.976,1:0
Student_9,First Year,School B,West,Female,19,C,78,17.733,2:10
Student_10,First Year,School B,East,Male,20,B,97,21.497,1:40
Student_11,Second Year,School A,East,Female,21,B,81,23.702,1:50
Student_12,First Year,School A,West,Male,24,A,81,20.738,1:10
Student_13,Second Year,School B,West,Male,21,B,92,24.941,0:10
Student_14,Second Year,School B,East,Male,18,C,70,23.402,0:25
Student_15,First Year,School A,East,Female,19,C,81,20.427,1:15
Student_16,Second Year,School A,West,Male,24,C,65,17.111,2:35
Student_17,First Year,School A,West,Male,25,C,69,23.376,0:45
Student_18,Second Year,School B,West,Male,24,D,82,24.884,1:35
Student_19,Second Year,School A,West,Female,23,C,72,15.885,2:40
Student_20,Second Year,School A,East,Female,25,D,66,24.771,1:45
Student_21,First Year,School A,East,Male,22,B,87,19.825,2:50
Student_22,First Year,School A,East,Male,18,C,79,24.921,2:10
Student_23,Second Year,School B,East,Female,22,A,79,16.651,2:20
Student_24,First Year,School B,West,Female,25,A,84,18.214,2:30
Student_25,First Year,School B,West,Male,21,B,84,18.085,0:5
Student_26,First Year,School A,East,Female,21,B,91,25.14,0:0
Student_27,Second Year,School B,East,Female,18,B,86,17.87,1:25
Student_28,First Year,School A,West,Female,22,D,90,21.229,2:25
Student_29,Second Year,School A,West,Male,20,C,74,17.149,1:10
Student_30,Second Year,School B,West,Male,25,D,86,24.591,0:50
Student_31,First Year,School B,West,Male,22,D,77,20.495,0:30
Student_32,Second Year,School B,West,Female,19,A,91,22.437,1:40
Student_33,First Year,School B,West,Male,21,B,74,21.219,1:5
Student_34,Second Year,School A,West,Male,18,B,68,18.161,0:35
Student_35,First Year,School A,East,Male,24,D,90,24.669,2:25
Student_36,Second Year,School B,West,Female,24,B,79,19.728,0:5
Student_37,Second Year,School B,West,Male,20,B,70,22.893,2:40
Student_38,Second Year,School A,West,Female,24,D,70,20.09,0:30
Student_39,First Year,School A,East,Male,18,D,77,23.886,2:50
Student_40,Second Year,School B,West,Female,24,B,66,15.919,0:0
Student_41,Second Year,School B,East,Male,19,B,88,24.677,2:0
Student_42,First Year,School A,East,Male,24,C,100,21.023,2:25
Student_43,Second Year,School B,East,Male,25,C,79,24.62,1:10
Student_44,First Year,School B,East,Male,19,D,71,19.492,0:25
Student_45,First Year,School B,West,Male,22,B,61,15.963,1:45
Student_46,First Year,School A,West,Male,20,D,85,16.979,0:45
Student_47,Second Year,School B,West,Female,21,D,72,22.682,2:10
